Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
"scrollToPosition(0, 99)",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
"scrollToPosition(0, 999)",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
"scrollToPosition(0, 9999)",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
"sendKeys(findTestObject(null), Keys.chord(HOME))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
delay(5),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
"setText(findTestObject(""Maintenance/Search Mutualan""), ""mutualan rt"")",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
delay(5),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Klik Span Mutualan RT""), STOP_ON_FAILURE)",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
delay(20),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Klik Tweet Pertama Mutualan""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Klik Retweet""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Follow 1""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Follow 2""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
delay(20),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
